Entry Number,Completeness,Clarity,Reference,Relevance,Accuracy
1,1.0,0.5,-1.0,1.0,1.0
2,1.0,0.5,1.0,1.0,1.0
3,1.0,0.5,1.0,1.0,0.5
4,0.5,0.5,-1.0,1.0,-1.0
5,1.0,1.0,0.5,1.0,1.0
6,0.5,0.5,0.5,1.0,1.0
7,0.5,1.0,0.5,1.0,1.0
8,-1.0,-1.0,-1.0,-1.0,-1.0
9,1.0,0.5,-1.0,1.0,0.5
10,1.0,1.0,-1.0,1.0,1.0
11,-1.0,-1.0,-1.0,-1.0,-1.0
12,0.5,0.5,-1.0,-1.0,0.5
13,0.5,-1.0,-1.0,-1.0,-1.0
14,0.5,1.0,-1.0,1.0,-1.0
15,-1.0,-1.0,-1.0,-1.0,-1.0
16,1.0,1.0,-1.0,1.0,-1.0
17,-1.0,-1.0,-1.0,-1.0,-1.0
18,-1.0,-1.0,-1.0,-1.0,-1.0
19,1.0,1.0,-1.0,1.0,-1.0
20,1.0,1.0,-1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,-1.0,1.0,1.0
23,-1.0,-1.0,-1.0,-1.0,-1.0
24,-1.0,-1.0,-1.0,-1.0,-1.0
25,1.0,0.5,-1.0,1.0,0.5
26,1.0,1.0,-1.0,0.5,0.5
27,1.0,1.0,-1.0,1.0,1.0
28,1.0,1.0,-1.0,1.0,0.5
29,1.0,1.0,1.0,1.0,1.0
30,-1.0,-1.0,-1.0,-1.0,-1.0
31,1.0,1.0,-1.0,0.5,0.5
32,1.0,1.0,-1.0,1.0,1.0
